,Document_No,Dominant_Topic_1,Topic_Keywords_1,Question,Avg_J,Avg_SD,Avg_C
0,0,27,"for, follow, int, code, runtime, method, get, correctly, property, class","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
",0.12072626043087559,0.19384176605896716,0.19935455186460713
1,1,32,"index, definition, low, high, possible, bind, parent, assume, lecture, exist","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
",0.13729950697431728,0.21720720885257375,0.23232040327678513
2,2,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Which one of the following sorting algorithms is the quickest for an almost sorted array?
",0.1258886003045382,0.21756361445508696,0.22541209640434107
3,3,35,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","What is the Big oh complexity of heap sort?
",0.1382021799925743,0.2377727952773272,0.24545602265351912
4,4,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
",0.13790330200401588,0.23745716844086745,0.24412625889157824
5,5,17,"insertion, already, term, label, counter, may, many, suitable, situation, use","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
",0.05501938726171032,0.10286040645077522,0.12113340143536507
6,6,17,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the time complexity for completing 'n' searches in a balanced binary search tree?
",0.05412842342067639,0.1019529960959917,0.12801156365422883
7,7,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the worst case time complexity of the merge sort
",0.2951245903219588,0.4320703929094895,0.43803693280917144
8,8,14,"value, operation, perform, similar, expect, many, page, real, note, temp","Which data structure is described by:the value at each node is = the values at its two children.
",0.1171216010285338,0.2079482756650256,0.21294138627964465
9,9,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
",0.06706579792362462,0.1205837699212204,0.12597209607737708
10,10,29,"hash, table, function, number, bucket, find, use, close, step, insert","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
",0.07998053579744226,0.1450126891851103,0.1748470858003359
11,11,29,"hash, table, function, number, bucket, find, use, close, step, insert","Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
",0.11306585259698133,0.19413671159465104,0.21477306800833337
12,12,29,"datum, structure, item, remove, data, implement, add, fast, follow, make","You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
",0.09730184310167837,0.170211361352033,0.1869521276924014
13,13,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
",0.1349057259018725,0.23308183755876274,0.24144421016341475
14,14,49,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
",0.11309843094325854,0.19660507992861842,0.2095869614946858
15,15,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","Which formal definition represents an algorithm operating asymptotically equal as f(x)?
",0.07076291255265091,0.12509218018079624,0.13345218999790767
16,16,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","It's another Monday morning and you've just rolled up to your workstation at an unnamed car manufacturing company. But, egads! You find that all of the computers have been struck with ransomware!The ransomware states that all of your important, company related files have been encrypted. In order to decrypt them, you can either send 5 BTC to a shady BTC wallet address OR you can solve the following AVL-Tree question.Given the following AVL Tree:what will the tree look like after the number7 has been inserted?
",0.050192798459672144,0.09442008208848097,0.12537713554874674
17,17,35,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which one of the following statements regarding sorting is incorrect?
",0.161588324545958,0.2676512593748629,0.2760173652772199
18,18,24,"determine, start, want, divide, line, word, weight, grain, need, build","How does a Dijkstra's Algorithm behave when all of the edges are weighted equally?
",0.03125,0.06060606060606061,0.08696565534786727
19,19,31,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
",0.0548821118152468,0.10274906301786088,0.12465034741213309
20,20,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
",0.0564813999978124,0.10539342873530934,0.12190528662976015
21,21,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the best and worst case for Merge Sort?
",0.2538765583831373,0.38366682666377433,0.38941298290750403
22,22,47,"call, represent, whereis, areedge, natural, assign, calculateand, view, content, top","Which of the max heaps A-H could be represented in an array?
",0.06933544173573182,0.12527374720437462,0.13160447473307874
23,23,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
",0.07935605463768114,0.14282405160598108,0.1536454428283772
24,24,31,"store, must, number, able, book, like, quickly, application, product, could","Which of the following does the method used to find a number in a phone book most closely resemble?
",0.06951161611883103,0.12702539663020482,0.14146577608784097
25,25,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider the following binary search treeWhen completing a post order traversal what is the correct order
",0.07921502132210169,0.14290035462370737,0.1561282608220728
