,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Question
0,0,27.0,0.31049999594688416,"for, follow, int, code, runtime, method, get, correctly, property, class","['runtime', 'for', 'follow', 'code', 'fragment', 'for', 'for', 'for']","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
"
1,1,32.0,0.3330000042915344,"index, definition, low, high, possible, bind, parent, assume, lecture, exist","['complexity', 'use', 'definition', 'give', 'week', 'lecture', 'slide', 'fix', 'assume', 'low', 'possible', 'value', 'for', 'definition', 'hold']","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
"
2,2,41.0,0.19629999995231628,"sort, take, use, selection, many, order, would, bubble, quick, ascend","['follow', 'sort', 'algorithm', 'quick', 'for', 'almost', 'sorted', 'array']","Which one of the following sorting algorithms is the quickest for an almost sorted array?
"
3,3,47.0,0.06340000033378601,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","['complexity', 'heap']","What is the Big oh complexity of heap sort?
"
4,4,35.0,0.06400000303983688,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","['algorithm', 'without']","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
"
5,5,17.0,0.48649999499320984,"insertion, already, term, label, counter, may, many, suitable, situation, use","['many', 'beer', 'while', 'fly', 'sleigh', 'back', 'pole', 'police', 'pull', 'police', 'ask', 'for', 'commercial', 'pilot', 'license', 'cpl', 'realise', 'leave', 'remain', 'gift', 'box', 'gift', 'box', 'need', 'find', 'label', 'location', 'put', 'pile', 'remain', 'total', 'pile', 'order', 'name', 'gift', 'box', 'pile', 'use', 'binary', 'search', 'bad', 'case', 'complexity']","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
"
6,6,31.0,0.1687999963760376,"tree, node, binary, follow, avl, traversal, order, search, number, root","['time', 'complexity', 'for', 'complete', 'search', 'balance', 'binary', 'search', 'tree']","What is the time complexity for completing 'n' searches in a balanced binary search tree?
"
7,7,8.0,0.09690000116825104,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","['bad', 'case', 'time', 'complexity', 'merge', 'sort']","What is the worst case time complexity of the merge sort
"
8,8,14.0,0.09040000289678574,"value, operation, perform, similar, expect, many, page, real, note, temp","['datum', 'structure', 'describe', 'value', 'node', 'value', 'child']","Which data structure is described by:the value at each node is = the values at its two children.
"
9,9,47.0,0.09399999678134918,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","['time', 'complexity', 'complete', 'long', 'take', 'complete']","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
"
